Unit Postcode,All usual residents,Males,Females,Households
BT4 2RN,13,7,6,4
BT4 2RQ,18,9,9,5
BT4 2RU,29,16,13,12
BT4 2RW,102,47,55,27
BT4 2TA,22,11,11,8
BT4 2WA,48,23,25,15
BT4 2WB,150,80,70,58
BT4 2WD,43,18,25,22
BT4 2WE,102,50,52,37
BT4 2WG,55,27,28,27
BT4 3AB,19,12,7,6
BT4 3AD,90,32,58,47
BT4 3AE,76,40,36,35
BT4 3AF,117,55,62,48
BT4 3AG,98,44,54,40
BT4 3AH,74,38,36,36
BT4 3AJ,131,58,73,57
BT4 3AL,29,14,15,19
BT4 3AN,14,8,6,6
BT4 3AP,51,22,29,28
BT4 3AQ,125,61,64,55
BT4 3AR,106,49,57,40
BT4 3AX,6,3,3,4
BT4 3BE,21,13,8,9
BT4 3BG,10,6,4,8
BT4 3BH,13,8,5,5
BT4 3BJ,29,15,14,10
BT4 3BL,23,12,11,10
BT4 3BN,54,20,34,28
BT4 3BQ,21,7,14,9
BT4 3BS,19,11,8,8
BT4 3BT,59,30,29,31
BT4 3BU,46,28,18,30
BT4 3BW,75,33,42,34
BT4 3BX,117,52,65,43
BT4 3BY,83,42,41,31
BT4 3BZ,29,15,14,12
BT4 3DA,109,49,60,41
BT4 3DB,33,18,15,19
BT4 3DD,64,30,34,29
BT4 3DE,92,36,56,51
BT4 3DF,25,7,18,17
BT4 3DG,46,22,24,30
BT4 3DH,50,24,26,20
BT4 3DJ,116,55,61,35
BT4 3DN,7,0,7,6
BT4 3DP,16,7,9,11
BT4 3DQ,4,0,4,4
BT4 3DR,9,3,6,9
BT4 3DS,19,8,11,12
BT4 3DT,62,23,39,41
BT4 3DU,132,63,69,43
BT4 3DW,86,43,43,30
BT4 3DX,66,34,32,28
BT4 3DY,63,30,33,29
BT4 3DZ,101,54,47,36
BT4 3EA,83,42,41,26
BT4 3EB,50,27,23,19
BT4 3ED,37,17,20,12
BT4 3EE,15,10,5,11
BT4 3EF,11,6,5,8
BT4 3EH,25,9,16,17
BT4 3EL,9,4,5,7
BT4 3EN,63,27,36,26
BT4 3EQ,62,30,32,18
BT4 3ES,45,25,20,16
BT4 3ET,*,*,*,*
BT4 3EU,15,7,8,7
BT4 3EZ,*,*,*,*
BT4 3FA,11,4,7,11
BT4 3FD,39,20,19,19
BT4 3FE,29,12,17,14
BT4 3FF,141,64,77,57
BT4 3FG,80,40,40,31
BT4 3FH,40,17,23,15
BT4 3FJ,40,17,23,19
BT4 3FL,50,25,25,26
BT4 3FN,46,18,28,17
