Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Gardenstown,667,317,350,667,-,6,35,19.31
Garelochhead,"2,277","1,525",752,"1,368",909,14,216,10.53
Gargunnock,752,358,394,752,-,25,44,17.27
Garmouth,589,287,302,588,1,14,41,14.54
Gartcosh,"2,145","1,055","1,090","2,145",-,4,45,48.09
Gatehouse of Fleet,986,457,529,940,46,11,101,9.77
Gauldry,691,347,344,691,-,11,30,23.32
Gifford,763,357,406,756,7,18,31,24.55
Girvan,"6,651","3,117","3,534","6,626",25,42,189,35.17
Glassford,609,275,334,609,-,3,15,41.09
Glenboig,"2,681","1,313","1,368","2,681",-,4,77,34.66
Glenfarg,639,314,325,636,3,10,52,12.22
Glenluce,635,306,329,633,2,1,33,19.26
Glenmavis,"2,285","1,137","1,148","2,285",-,7,48,47.12
Glenrothes,"47,748","23,131","24,617","47,370",378,316,"2,353",20.29
Golspie,"1,407",673,734,"1,387",20,14,108,13.02
Gorebridge,"6,328","3,017","3,311","6,259",69,21,143,44.35
Gourdon,789,405,384,789,-,4,27,28.95
Grantown-on-Spey,"2,428","1,143","1,285","2,324",104,23,131,18.56
Greater Glasgow,"1,209,143","580,857","628,286","1,189,230","19,913","4,313","37,066",32.62
Greengairs and Wattson,"1,004",496,508,"1,004",-,1,64,15.7
Greenlaw,653,312,341,648,5,8,44,14.74
Greenock,"70,313","33,592","36,721","69,216","1,097",242,"2,044",34.39
Gretna,"3,147","1,521","1,626","3,136",11,18,140,22.49
Gullane,"2,568","1,214","1,354","2,527",41,51,104,24.76
Haddington,"9,064","4,381","4,683","8,978",86,112,283,32.03
Halkirk,982,485,497,982,-,15,107,9.17
Hallglen,"3,227","1,552","1,675","3,227",-,10,67,48.14
Hamilton,"70,428","33,881","36,547","69,817",611,180,"2,137",32.96
Harthill,"3,707","1,802","1,905","3,707",-,8,94,39.48
Hatton of Cruden,882,443,439,882,-,7,37,23.63
Hawick,"14,294","6,913","7,381","14,176",118,91,514,27.79
Helensburgh,"15,866","7,630","8,236","15,612",254,230,712,22.29
High Valleyfield,"3,017","1,475","1,542","3,017",-,14,105,28.85
