Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
KA3 2 (part) North Ayrshire,245,124,121,243,2,1,934,0.26
KA3 3 (part) East Ayrshire,"3,041","1,440","1,601","3,041",-,12,"1,674",1.82
KA3 4 (part) East Ayrshire,"1,645",795,850,"1,637",8,16,"3,196",0.51
KA3 5,"4,712","2,240","2,472","4,710",2,31,"3,798",1.24
KA3 6,"4,305","2,083","2,222","4,265",40,39,"8,572",0.5
KA3 7,"8,186","3,905","4,281","8,186",-,29,226,36.29
KA30 8,"5,650","2,628","3,022","5,493",157,54,"4,327",1.31
KA30 9,"5,777","2,714","3,063","5,732",45,62,120,48.17
KA4 8,"5,318","2,537","2,781","5,308",10,29,"3,879",1.37
KA5 5 (part) East Ayrshire,"2,079","1,018","1,061","2,062",17,30,"3,861",0.54
KA5 5 (part) South Ayrshire,"2,261","1,130","1,131","2,261",-,10,"3,961",0.57
KA5 6,"5,691","2,814","2,877","5,629",62,27,"8,195",0.69
KA6 5,"4,082","1,953","2,129","3,978",104,25,"3,722",1.1
KA6 6 (part) East Ayrshire,"1,885",909,976,"1,885",-,10,"2,062",0.91
KA6 6 (part) South Ayrshire,"4,147","2,025","2,122","3,986",161,48,"5,091",0.81
KA6 7 (part) East Ayrshire,"9,357","4,511","4,846","9,205",152,23,"21,212",0.44
KA7 1,"2,331","1,170","1,161","2,270",61,16,80,29.05
KA7 2,"5,832","2,660","3,172","5,509",323,116,222,26.26
KA7 3,"11,200","5,267","5,933","11,200",-,67,303,36.93
KA7 4,"8,648","4,144","4,504","8,497",151,172,"3,032",2.85
KA8 0,"7,329","3,504","3,825","7,158",171,25,244,30.03
KA8 8,"3,747","1,795","1,952","3,718",29,11,127,29.56
KA8 9,"8,018","3,778","4,240","8,018",-,31,245,32.67
KA9 1,"7,643","3,585","4,058","7,514",129,90,563,13.58
KA9 2,"8,522","4,034","4,488","8,491",31,62,"1,983",4.3
KW1 4,"5,515","2,771","2,744","5,444",71,77,"22,276",0.25
KW1 5,"5,552","2,739","2,813","5,517",35,73,"25,320",0.22
